Username,Tanggal,Bintang,Komentar,Komentar_Cleaned,Komentar_Tokenized,Label,Prediksi_NaiveBayes,Prediksi_SVM,Prediksi_KNN
Christian Banna,11/28/2022,5,"Semoga semakin update memberikan informasi yang akurat, aplikasi ini sangat bermanfaat 🙏",moga makin update beri informasi akurat aplikasi sangat manfaat,"['moga', 'makin', 'update', 'beri', 'informasi', 'akurat', 'aplikasi', 'sangat', 'manfaat']",positif,positif,positif,positif
Owenwen Wen,9/26/2024,5,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,positif,positif
RONI UMBU MUDA,3/18/2024,5,Terima kasih😇,terima kasih,"['terima', 'kasih']",positif,positif,positif,positif
Onny Hardianto Publicist,3/30/2024,5,"titik gempa itu sebenarnya tidak cuma satu saja , namun seharusnya memperhatikan tampilan gempa kecil kecil , di detik yang sama di banyak tempat yang berbeda lokasi ratusan kilometer , ada yang di dasar laut di utara maluku , dan di detik yang sama juga terjadi di pulau jawa akibat gunung yang sedang mengeluarkan asap agak banyak di hari itu , dan tampilan nya bisa dibedakan dari warna merah , merah muda , merah tua , sehingga gempa itu bukan dari perasaan nya sendiri , badan nya goyang goyang",titik gempa benar tidak cuma satu saja namun harus perhati tampil gempa kecil kecil detik sama banyak tempat beda lokasi ratus kilometer ada dasar laut utara malu detik sama juga jadi pulau jawa akibat gunung sedang keluar asap agak banyak hari tampil nya bisa beda warna merah merah muda merah tua sehingga gempa bukan asa nya sendiri badan nya goyang goyang,"['titik', 'gempa', 'benar', 'tidak', 'cuma', 'satu', 'saja', 'namun', 'harus', 'perhati', 'tampil', 'gempa', 'kecil', 'kecil', 'detik', 'sama', 'banyak', 'tempat', 'beda', 'lokasi', 'ratus', 'kilometer', 'ada', 'dasar', 'laut', 'utara', 'malu', 'detik', 'sama', 'juga', 'jadi', 'pulau', 'jawa', 'akibat', 'gunung', 'sedang', 'keluar', 'asap', 'agak', 'banyak', 'hari', 'tampil', 'nya', 'bisa', 'beda', 'warna', 'merah', 'merah', 'muda', 'merah', 'tua', 'sehingga', 'gempa', 'bukan', 'asa', 'nya', 'sendiri', 'badan', 'nya', 'goyang', 'goyang']",positif,negatif,negatif,negatif
BANG CAKKA,5/29/2023,1,Kok jadi jelek setelah pembaruan? Maaf karena kurasakan jadi tidak berguna maka saya uninstal saja aplikasi ini.,kok jadi jelek telah baru maaf karena rasa jadi tidak guna maka saya uninstal saja aplikasi,"['kok', 'jadi', 'jelek', 'telah', 'baru', 'maaf', 'karena', 'rasa', 'jadi', 'tidak', 'guna', 'maka', 'saya', 'uninstal', 'saja', 'aplikasi']",negatif,negatif,positif,positif
ARI ISWANTO,1/4/2024,2,"Bug nya masih banyak, perbaiki lagi... Fiturnya terlalu monoton update otomatis nya kurang gercep...",bug nya masih banyak baik lagi fiturnya terlalu monoton update otomatis nya kurang gercep,"['bug', 'nya', 'masih', 'banyak', 'baik', 'lagi', 'fiturnya', 'terlalu', 'monoton', 'update', 'otomatis', 'nya', 'kurang', 'gercep']",negatif,netral,positif,positif
TEGUH JULIO,4/25/2023,5,"Saya sarankan tambahan serene jika terjadi gempa berpotensi tsunami, itu sangat bagus sehingga masyarakat dapat melarikan diri ketempat yang lebih aman",saya saran tambah serene jika jadi gempa potensi tsunami sangat bagus sehingga masyarakat dapat lari diri tempat lebih aman,"['saya', 'saran', 'tambah', 'serene', 'jika', 'jadi', 'gempa', 'potensi', 'tsunami', 'sangat', 'bagus', 'sehingga', 'masyarakat', 'dapat', 'lari', 'diri', 'tempat', 'lebih', 'aman']",positif,positif,positif,positif
Alfred Pareda,8/3/2023,5,"Trims,dpt mengantisipasi dgn kondisi kewilayaan",trimsdpt antisipasi dgn kondisi kewilayaan,"['trimsdpt', 'antisipasi', 'dgn', 'kondisi', 'kewilayaan']",positif,positif,positif,positif
hoerus saleh,3/5/2023,5,Exelent,exelent,['exelent'],positif,positif,positif,positif
Ari Permana,2/2/2023,5,Lebih ditingkatkan lagi early warning systemnya dengan Bun atau Ringtone Bahaya,lebih tingkat lagi early warning systemnya bun atau ringtone bahaya,"['lebih', 'tingkat', 'lagi', 'early', 'warning', 'systemnya', 'bun', 'atau', 'ringtone', 'bahaya']",positif,positif,positif,positif
Indra,9/24/2024,2,"Ngasih info selalu telat, baru kejadian dikasih tau, seharusnya sebelum kejadian kasih tau.. contoh saat hujan",ngasih info selalu telat baru jadi kasih tau harus belum jadi kasih tau contoh saat hujan,"['ngasih', 'info', 'selalu', 'telat', 'baru', 'jadi', 'kasih', 'tau', 'harus', 'belum', 'jadi', 'kasih', 'tau', 'contoh', 'saat', 'hujan']",negatif,positif,netral,positif
