Username,Tanggal,Bintang,Komentar
Antok Plontos,2025-03-03,1,"Beda dgn aplikasi yg lama,,yg ini hampir gak prnh dpt notifikasi..cm sekali2 aja dpt notif gempa,pdhl hampir tiap HR ada gempa di wilayah indonesia."
Azraqi Warhangan,2025-03-03,2,Tambah susah baca perkiraan gelombang laut Kembalikan ke model lama ya pak
maryadi amer,2025-03-02,2,Habis update mlah ngk bisa ganti lokasi
Wawax Wawax,2025-03-02,5,Bgus
angky,2025-03-01,1,"Perubahan Cuaca bukannya di update setiap saat, tapi hanya lewat pemberitahuan saja.. Kalah jauh sama Aplikasi serupa yg bisa diatur updatenya setiap saat.. Ayo maju lagi BMKG.. Jangan mau kalah sama yg free.. Wkwkwk..."
Aris Kurniawan,2025-02-28,1,"Setela update malah semakin banyak bug. Gps tidak bisa deteksi,citra satelit pun susah untuk dibuka."
Adneil's Project,2025-02-27,2,Ini Gimana om.. lokasi ke lock Gunung Sahari... Jadi ngaco lokasi.. ganti ganti tetap patokan gunung Sahari .. tolong kembalikan posisi GPS nya yang bener..
aziz azhari,2025-02-27,5,"Kenapa citra satelit himawari tidak muncul lagi ya, selalu loading saat dibuka, padahal sangat berguna buat saya tau arah angin membawa awan hujan, mudah2an bisa diperbaiki oleh BMKG"
Botol KecapS Tech,2025-02-27,2,Tidak terlalu akurat
Elangdirga Nuswantara,2025-02-25,3,"Mohon beri tambahan ada vibration meter, agar wilayah lain dapat mengukur getaran di daerah yang belum ter-cover"
Yaniarti P.,2025-02-24,3,"Masih ada bug. Notifikasi masuk gempa, dll, sudah tepat, tapi saat diklik aplikasi sama sekali tidak terbuka. Lokasi sudah diganti tapi tetap tidak tersimpan."
MULIADY,2025-02-20,5,Cukup bagus
Danu,2025-02-20,1,"gps nya gunung sahari jaksel aja, pdhal bkn, dirubah enggak bs tolong diperbaiki"
M Rz,2025-02-20,4,"Lumayan Oke, tetapi untuk aplikasi pemerintah ini masih kurang, fitur nya ada yang error,dan map nya masih susah di lihat"
Hana Peng,2025-02-19,5,Sangat bermanfaat
Phoez,2025-02-18,5,Bagus
Kapital “Gondez” Official,2025-02-18,2,Kenapa sekarang enggk bisa pilih kota di luar daerah jakarta
